ALTERDATA,ITEM DO EPI,QTD,NOME SITE
ASSESSOR N2,Máscara N95,1.0,ASSESSOR II
ASSESSOR PROJETOS N2,SEM EPI,0.0,ASSESSOR PROJETOS II
ASSESSOR TÉCNICO DE REGULACAO N2,Máscara descartável,1.0,ASSESSOR TÉCNICO DE REGULAÇÃO II
ASSESSOR TÉCNICO DE REGULACAO N2,Máscara N95,1.0,ASSESSOR TÉCNICO DE REGULAÇÃO II
ASSESSOR TÉCNICO N1,Máscara descartável,1.0,ASSESSOR TÉCNICO I
ASSESSOR TÉCNICO N1,Máscara N95,1.0,ASSESSOR TÉCNICO I
ASSESSOR TÉCNICO N2,Máscara descartável,1.0,ASSESSOR TÉCNICO II
ASSESSOR TÉCNICO N2,Máscara N95,1.0,ASSESSOR TÉCNICO II
ASSESSOR TÉCNICO DE RH,SEM EPI,0.0,ASSESSOR TÉCNICO DE RH
ASSISTENTE  TÉCNICO III,SEM EPI,0.0,ASSISTENTE TÉCNICO III
ASSISTENTE ADMINISTRATIVO,Máscara descartável,1.0,ASSISTENTE ADMINISTRATIVO
ASSISTENTE ADMINISTRATIVO,Máscara N95,1.0,ASSISTENTE ADMINISTRATIVO
Assistente de arquitetura,SEM EPI,0.0,ASSISTENTE DE ARQUITETURA
ASSISTENTE DE COMUNICACAO,SEM EPI,0.0,ASSISTENTE DE COMUNICAÇÃO
ASSISTENTE DE CONTABILIDADE,SEM EPI,0.0,ASSISTENTE DE CONTABILIDADE
ASSISTENTE DE COZINHA,SEM EPI,0.0,ASSISTENTE DE COZINHA
ASSISTENTE DE COZINHA,SEM EPI,0.0,ASSISTENTE DE COZINHA
ASSISTENTE DE DESENVOLVIMENTO ORGANIZACIONAL,SEM EPI,0.0,ASSISTENTE DE DESENVOLVIMENTO ORGANIZACIONAL
ASSISTENTE DE DESENVOLVIMENTO ORGANIZACIONAL,SEM EPI,0.0,ASSISTENTE DE DESENVOLVIMENTO ORGANIZACIONAL
ASSISTENTE DE GESTAO DE FOLHA DE PAGAMENTO,SEM EPI,0.0,ASSISTENTE DE GESTAO DE FOLHA DE PAGAMENTO
ASSISTENTE DE MEIO AMBIENTE,SEM EPI,0.0,ASSISTENTE DE MEIO AMBIENTE
ASSISTENTE DE MEIO AMBIENTE,SEM EPI,0.0,ASSISTENTE DE MEIO AMBIENTE
ASSISTENTE DE MONITORAMENTO E AVALIAÇAO,SEM EPI,0.0,ASSISTENTE DE MONITORAMENTO E AVALIAÇÃO
ASSISTENTE DE NECROPSIA/REMOVEDOR,Avental TNT descartável,1.0,ASSISTENTE DE NECROPSIA/REMOVEDOR
ASSISTENTE DE NECROPSIA/REMOVEDOR,Bota de PVC,1.0,ASSISTENTE DE NECROPSIA/REMOVEDOR
ASSISTENTE DE NECROPSIA/REMOVEDOR,Luva de procedimento descartável,1.0,ASSISTENTE DE NECROPSIA/REMOVEDOR
ASSISTENTE DE NECROPSIA/REMOVEDOR,Máscara descartável,1.0,ASSISTENTE DE NECROPSIA/REMOVEDOR
ASSISTENTE DE NECROPSIA/REMOVEDOR,Máscara N95,1.0,ASSISTENTE DE NECROPSIA/REMOVEDOR
ASSISTENTE DE NECROPSIA/REMOVEDOR,Touca TNT descartável,1.0,ASSISTENTE DE NECROPSIA/REMOVEDOR
ASSISTENTE DE OUVIDORIA,SEM EPI,0.0,ASSISTENTE DE OUVIDORIA
ASSISTENTE DE PLANEJAMENTO I,SEM EPI,0.0,ASSISTENTE DE PLANEJAMENTO I
ASSISTENTE DE PLANEJAMENTO II,SEM EPI,0.0,ASSISTENTE DE PLANEJAMENTO II
ASSISTENTE DE PROCESSOS FINANCEIROS,SEM EPI,0.0,ASSISTENTE DE PROCESSOS FINANCEIROS
ASSISTENTE DE RECRUTAMENTO E SELEÇÃO,SEM EPI,0.0,ASSISTENTE DE RECRUTAMENTO E SELEÇÃO
ASSISTENTE DE RELACOES TRABALHISTAS,SEM EPI,0.0,ASSISTENTE DE RELACOES TRABALHISTAS
ASSISTENTE DE TI,SEM EPI,0.0,ASSISTENTE DE TI
ASSISTENTE DO GABINETE,SEM EPI,0.0,ASSISTENTE DO GABINETE
ASSISTENTE FINANCEIRO,SEM EPI,0.0,ASSISTENTE FINANCEIRO
ASSISTENTE INSTITUCIONAL,SEM EPI,0.0,ASSISTENTE INSTITUCIONAL
ASSISTENTE JURIDICO,SEM EPI,0.0,ASSISTENTE JURIDICO
ASSISTENTE SOCIAL,Avental TNT descartável,1.0,ASSISTENTE SOCIAL
ASSISTENTE SOCIAL,Luva de procedimento descartável,1.0,ASSISTENTE SOCIAL
ASSISTENTE SOCIAL,Máscara descartável,1.0,ASSISTENTE SOCIAL
ASSISTENTE SOCIAL,Máscara N95,1.0,ASSISTENTE SOCIAL
ASSISTENTE TÉCNICO I,SEM EPI,0.0,ASSISTENTE TÉCNICO I
ATENDENTE DE CONSULTÓRIO,Máscara descartável,1.0,ATENDENTE DE CONSULTÓRIO
ATENDENTE DE CONSULTÓRIO,Máscara N95,1.0,ATENDENTE DE CONSULTÓRIO
ATENDENTE ODONTOLÓGICO,SEM EPI,0.0,ATENDENTE ODONTOLÓGICO
AUDITOR,SEM EPI,0.0,AUDITOR
AUXILIAR ADMINISTRATIVO,Máscara descartável,1.0,AUXILIAR ADMINISTRATIVO
AUXILIAR ADMINISTRATIVO,Máscara N95,1.0,AUXILIAR ADMINISTRATIVO
AUXILIAR DE ALMOXARIFADO,Máscara descartável,1.0,AUXILIAR DE ALMOXARIFADO
AUXILIAR DE ALMOXARIFADO,Máscara N95,1.0,AUXILIAR DE ALMOXARIFADO
AUXILIAR DE ARQUITETURA,SEM EPI,0.0,AUXILIAR DE ARQUITETURA
AUXILIAR DE ENFERMAGEM,SEM EPI,0.0,AUXILIAR DE ENFERMAGEM
AUXILIAR DE FARMÁCIA,Avental TNT descartável,1.0,AUXILIAR DE FARMÁCIA
AUXILIAR DE FARMÁCIA,Luva de procedimento descartável,1.0,AUXILIAR DE FARMÁCIA
AUXILIAR DE FARMÁCIA,Máscara descartável,1.0,AUXILIAR DE FARMÁCIA
AUXILIAR DE FARMÁCIA,Máscara N95,1.0,AUXILIAR DE FARMÁCIA
AUXILIAR DE FARMÁCIA,Touca TNT descartável,1.0,AUXILIAR DE FARMÁCIA
AUXILIAR DE HOTELARIA,Máscara descartável,1.0,AUXILIAR DE HOTELARIA
AUXILIAR DE HOTELARIA,Máscara N95,1.0,AUXILIAR DE HOTELARIA
AUXILIAR DE LABORATÓRIO DE ANALISES CLÍNICAS,Avental TNT descartável,1.0,AUXILIAR DE LABORATÓRIO DE ANALISES CLÍNICAS
AUXILIAR DE LABORATÓRIO DE ANALISES CLÍNICAS,Luva de Látex,1.0,AUXILIAR DE LABORATÓRIO DE ANALISES CLÍNICAS
AUXILIAR DE LABORATÓRIO DE ANALISES CLÍNICAS,Máscara descartável,1.0,AUXILIAR DE LABORATÓRIO DE ANALISES CLÍNICAS
AUXILIAR DE LABORATÓRIO DE ANALISES CLÍNICAS,Máscara N95,1.0,AUXILIAR DE LABORATÓRIO DE ANALISES CLÍNICAS
AUXILIAR DE LABORATÓRIO DE ANALISES CLÍNICAS,Touca TNT descartável,1.0,AUXILIAR DE LABORATÓRIO DE ANALISES CLÍNICAS
AUXILIAR DE MANUTENCAO,Avental TNT descartável,1.0,AUXILIAR DE MANUTENÇÃO
AUXILIAR DE MANUTENCAO,Luva de procedimento descartável,1.0,AUXILIAR DE MANUTENÇÃO
AUXILIAR DE MANUTENCAO,Máscara descartável,1.0,AUXILIAR DE MANUTENÇÃO
AUXILIAR DE MANUTENCAO,Máscara N95,1.0,AUXILIAR DE MANUTENÇÃO
AUXILIAR DE NECROPSIA,Avental TNT descartável,1.0,AUXILIAR DE NECROPSIA
AUXILIAR DE NECROPSIA,Bota de PVC,1.0,AUXILIAR DE NECROPSIA
AUXILIAR DE NECROPSIA,Luva de procedimento descartável,1.0,AUXILIAR DE NECROPSIA
AUXILIAR DE NECROPSIA,Máscara descartável,1.0,AUXILIAR DE NECROPSIA
AUXILIAR DE NECROPSIA,Máscara N95,1.0,AUXILIAR DE NECROPSIA
AUXILIAR DE NECROPSIA,Touca TNT descartável,1.0,AUXILIAR DE NECROPSIA
AUXILIAR DE ROUPARIA,Avental de PVC,1.0,AUXILIAR DE ROUPARIA
AUXILIAR DE ROUPARIA,Bota de PVC,1.0,AUXILIAR DE ROUPARIA
AUXILIAR DE ROUPARIA,Luva de Látex,1.0,AUXILIAR DE ROUPARIA
AUXILIAR DE ROUPARIA,Máscara descartável,1.0,AUXILIAR DE ROUPARIA
AUXILIAR DE ROUPARIA,Óculos de proteção,1.0,AUXILIAR DE ROUPARIA
AUXILIAR DE SERVICOS GERAIS,Avental de PVC,1.0,AUXILIAR DE SERVIÇOS GERAIS
AUXILIAR DE SERVICOS GERAIS,Avental TNT descartável,1.0,AUXILIAR DE SERVIÇOS GERAIS
AUXILIAR DE SERVICOS GERAIS,Bota de PVC,1.0,AUXILIAR DE SERVIÇOS GERAIS
AUXILIAR DE SERVICOS GERAIS,Luva de Látex,1.0,AUXILIAR DE SERVIÇOS GERAIS
AUXILIAR DE SERVICOS GERAIS,Máscara descartável,1.0,AUXILIAR DE SERVIÇOS GERAIS
AUXILIAR DE SERVICOS GERAIS,Máscara N95,1.0,AUXILIAR DE SERVIÇOS GERAIS
AUXILIAR DE SERVICOS GERAIS,Óculos de proteção,1.0,AUXILIAR DE SERVIÇOS GERAIS
AUXILIAR ODONTOLOGICO,SEM EPI,0.0,AUXILIAR ODONTOLÓGICO
AUXILIAR OPERACIONAL DE SERVIÇOS GERAIS,Avental de PVC,1.0,AUXILIAR OPERACIONAL DE SERVIÇOS GERAIS
AUXILIAR OPERACIONAL DE SERVIÇOS GERAIS,Bota de PVC,1.0,AUXILIAR OPERACIONAL DE SERVIÇOS GERAIS
AUXILIAR OPERACIONAL DE SERVIÇOS GERAIS,Luva de Látex,1.0,AUXILIAR OPERACIONAL DE SERVIÇOS GERAIS
AUXILIAR OPERACIONAL DE SERVIÇOS GERAIS,Máscara descartável,1.0,AUXILIAR OPERACIONAL DE SERVIÇOS GERAIS
AUXILIAR OPERACIONAL DE SERVIÇOS GERAIS,Óculos de proteção,1.0,AUXILIAR OPERACIONAL DE SERVIÇOS GERAIS
AUXILIAR TÉCNICO,SEM EPI,0.0,AUXILIAR TÉCNICO
BIOLOGO ENTOMOLOGIA,SEM EPI,0.0,BIOLOGO ENTOMOLOGIA
BIOMEDICO,Avental TNT descartável,1.0,BIOMÉDICO
BIOMEDICO,Luva de Látex,1.0,BIOMÉDICO
BIOMEDICO,Máscara descartável,1.0,BIOMÉDICO
BIOMEDICO,Máscara N95,1.0,BIOMÉDICO
BIOMEDICO,Touca TNT descartável,1.0,BIOMÉDICO
BIOQUIMICO,Avental TNT descartável,1.0,BIOQUÍMICO
BIOQUIMICO,Luva de Látex,1.0,BIOQUÍMICO
BIOQUIMICO,Máscara descartável,1.0,BIOQUÍMICO
BIOQUIMICO,Máscara N95,1.0,BIOQUÍMICO
BIOQUIMICO,Touca TNT descartável,1.0,BIOQUÍMICO
BIOQUIMICO/BIOMEDICO,Avental TNT descartável,1.0,BIOQUÍMICO/BIOMÉDICO
BIOQUIMICO/BIOMEDICO,Luva de Látex,1.0,BIOQUÍMICO/BIOMÉDICO
BIOQUIMICO/BIOMEDICO,Máscara descartável,1.0,BIOQUÍMICO/BIOMÉDICO
BIOQUIMICO/BIOMEDICO,Máscara N95,1.0,BIOQUÍMICO/BIOMÉDICO
BIOQUIMICO/BIOMEDICO,Touca TNT descartável,1.0,BIOQUÍMICO/BIOMÉDICO
BOMBEIRO CIVIL,Cinto de Segurança,1.0,BOMBEIRO CIVIL
BOMBEIRO CIVIL,Máscara descartável,1.0,BOMBEIRO CIVIL
BOMBEIRO CIVIL,Máscara N95,1.0,BOMBEIRO CIVIL
BOMBEIRO CIVIL,Talabarte de Segurança,1.0,BOMBEIRO CIVIL
CHEFE DA ASSESSORIA ESPECIAL DA PRESIDÊNCIA,SEM EPI,0.0,CHEFE DA ASSESSORIA ESPECIAL DA PRESIDÊNCIA
CHEFE DA AUDITORIA INTERNA,SEM EPI,0.0,CHEFE DA AUDITORIA INTERNA
CHEFE DA RESIDÊNCIA MÉDICA MULTIPROFISSIONAL,SEM EPI,0.0,CHEFE DA RESIDÊNCIA MÉDICA MULTIPROFISSIONAL
CHEFE DA RESIDENCIA MULTIPROFISSIONAL - RIMS,SEM EPI,0.0,CHEFE DA RESIDENCIA MULTIPROFISSIONAL - RIMS
CHEFE DE GABINETE,SEM EPI,0.0,CHEFE DE GABINETE
CHEFE DO NUCLEO DE CONTROLE INTERNO DA GESTAO,SEM EPI,0.0,CHEFE DO NUCLEO DE CONTROLE INTERNO DA GESTAO
CHEFE DO NUCLEO DE PLANEJAMENTO,SEM EPI,0.0,CHEFE DO NUCLEO DE PLANEJAMENTO
CHEFE DO SERVICO DE CONTROLADORIA,SEM EPI,0.0,CHEFE DO SERVICO DE CONTROLADORIA
CHEFE DO DEPARTAMENTO JURIDICO,SEM EPI,0.0,CHEFE DO DEPARTAMENTO JURIDICO
CIRURGIAO DENTISTA - CLINICO GERAL,SEM EPI,0.0,CIRURGIAO DENTISTA - CLINICO GERAL
CONSULTOR  ADMINISTRATIVO,SEM EPI,0.0,CONSULTOR ADMINISTRATIVO
CONSULTOR  COMPRAS E CONTRATOS,SEM EPI,0.0,CONSULTOR COMPRAS E CONTRATOS
CONSULTOR  DE ABASTECIMENTO,Máscara descartável,1.0,CONSULTOR DE ABASTECIMENTO
CONSULTOR  DE ABASTECIMENTO,Máscara N95,1.0,CONSULTOR DE ABASTECIMENTO
CONSULTOR  DE COMPRA HOSPITALAR,Máscara descartável,1.0,CONSULTOR DE COMPRA HOSPITALAR
CONSULTOR  DE COMPRA HOSPITALAR,Máscara N95,1.0,CONSULTOR DE COMPRA HOSPITALAR
CONSULTOR  DE COMPRAS,SEM EPI,0.0,CONSULTOR DE COMPRAS
CONSULTOR  DE CONTABILIDADE,SEM EPI,0.0,CONSULTOR DE CONTABILIDADE
CONSULTOR  DE CONTRATOS,SEM EPI,0.0,CONSULTOR DE CONTRATOS
CONSULTOR  DE CONTRATOS DE GESTAO,SEM EPI,0.0,CONSULTOR DE CONTRATOS DE GESTAO
CONSULTOR  DE CONTROLE INTERNO FINANCEIRO,SEM EPI,0.0,CONSULTOR DE CONTROLE INTERNO FINANCEIRO
CONSULTOR  DE DESENVOLVIMENTO DE PARCEIROS,SEM EPI,0.0,CONSULTOR DE DESENVOLVIMENTO DE PARCEIROS
CONSULTOR  DE DESENVOLVIMENTO ORGANIZACIONAL,SEM EPI,0.0,CONSULTOR DE DESENVOLVIMENTO ORGANIZACIONAL
CONSULTOR  DE GESTAO DE CUSTOS,SEM EPI,0.0,CONSULTOR DE GESTAO DE CUSTOS
CONSULTOR  DE MONITORAMENTO E AVALIACAO,SEM EPI,0.0,CONSULTOR DE MONITORAMENTO E AVALIAÇÃO
CONSULTOR  DE PROCESSOS,SEM EPI,0.0,CONSULTOR DE PROCESSOS
CONSULTOR  DE RECRUTAMENTO E SELECAO,SEM EPI,0.0,CONSULTOR DE RECRUTAMENTO E SELEÇÃO
CONSULTOR  DE RELACOES TRABALHISTAS,SEM EPI,0.0,CONSULTOR DE RELACOES TRABALHISTAS
